[2026-03-20 16:38:24] INFO     quant.gui — 메인 윈도우 시작
[2026-03-20 16:38:34] INFO     quant.gui — 메인 윈도우 시작
[2026-03-20 16:53:56] INFO     quant.gui — 메인 윈도우 시작
[2026-03-20 16:56:51] INFO     quant.gui — 메인 윈도우 시작
[2026-03-20 16:57:16] INFO     quant.cache — 캐시 전체 삭제: 0개 파일
[2026-03-20 16:57:26] WARNING  quant.data — 현대로템: yfinance 데이터 없음
[2026-03-20 16:57:46] INFO     quant.trainer — 학습 디바이스: cuda
[2026-03-20 16:57:46] INFO     quant.trainer — GPU: NVIDIA GeForce GTX 1660 SUPER
[2026-03-20 16:57:46] INFO     quant.trainer — 학습 시작: 005930.KS — 99개 ROI 샘플
[2026-03-20 16:58:18] INFO     quant.trainer — Epoch  39/100 | Train: -1.760941 | Val: -1.831921 | 경과: 12s
[2026-03-20 16:58:18] INFO     quant.trainer — Epoch  40/100 | Train: -1.797278 | Val: -2.105672 | 경과: 12s
[2026-03-20 16:58:18] INFO     quant.trainer — Epoch  41/100 | Train: -1.907451 | Val: -2.142075 | 경과: 12s
[2026-03-20 16:58:18] INFO     quant.trainer — Epoch  42/100 | Train: -1.856861 | Val: -2.018318 | 경과: 12s
[2026-03-20 16:58:18] INFO     quant.trainer — Epoch  43/100 | Train: -1.654821 | Val: -2.060671 | 경과: 12s
[2026-03-20 16:58:18] INFO     quant.trainer — Epoch  44/100 | Train: -1.913088 | Val: -2.087079 | 경과: 13s
[2026-03-20 16:58:19] INFO     quant.trainer — Epoch  45/100 | Train: -1.679346 | Val: -2.022350 | 경과: 13s
[2026-03-20 16:58:19] INFO     quant.trainer — Epoch  46/100 | Train: -1.904975 | Val: -1.956944 | 경과: 13s
[2026-03-20 16:58:19] INFO     quant.trainer — Epoch  47/100 | Train: -1.903537 | Val: -1.911942 | 경과: 13s
[2026-03-20 16:58:19] INFO     quant.trainer — Epoch  48/100 | Train: -1.888069 | Val: -1.962713 | 경과: 13s
[2026-03-20 16:58:19] INFO     quant.trainer — Epoch  49/100 | Train: -1.868344 | Val: -2.067796 | 경과: 13s
[2026-03-20 16:58:19] INFO     quant.trainer — Epoch  50/100 | Train: -1.923162 | Val: -2.063933 | 경과: 13s
[2026-03-20 16:58:19] INFO     quant.trainer — Early stopping (epoch 50, 최고: epoch 35)
[2026-03-20 16:58:20] INFO     quant.store — [모델 저장] 000660.KS: F:\dev\ai_dev\ai_dev_xia\quant_trading_system\outputs/models\000660_KS\model_latest_20260320_165819.pt
[2026-03-20 16:58:20] INFO     quant.trainer — 학습 완료: 최고 val_loss=-2.158011 (epoch 35)
[2026-03-20 16:58:20] INFO     quant.trainer — 학습 디바이스: cuda
